1R	1B	st'	2K	2A	2W	2R	2H	2M	2B	2G	st''	->	opt_action
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
0		1		-		0		0		0		0		0		0		0		1		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		0		2		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		0		3		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		0		4		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		0		5		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		0		6		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		0		7		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		0		8		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		1		0		-		->		p1_B_Br
0		1		-		0		0		0		0		0		0		1		2		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		1		3		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		1		5		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		1		8		-		->		p1_B_Br
0		1		-		0		0		0		0		0		0		2		0		-		->		p1_B_Br
0		1		-		0		0		0		0		0		0		2		2		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		2		3		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		2		5		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		2		8		-		->		p1_B_Br
0		1		-		0		0		0		0		0		0		3		0		-		->		p1_B_Br
0		1		-		0		0		0		0		0		0		4		0		-		->		p1_B_Br
0		1		-		0		0		0		0		0		0		4		2		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		4		3		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		4		5		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		4		8		-		->		p1_B_Br
0		1		-		0		0		0		0		0		0		5		0		-		->		p1_B_Br
0		1		-		0		0		0		0		0		0		5		2		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		5		3		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		5		5		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		5		8		-		->		p1_B_Br
0		1		-		0		0		0		0		0		0		6		0		-		->		p1_B_Br
0		1		-		0		0		0		0		0		0		7		0		-		->		p1_B_Br
0		1		-		0		0		0		0		0		0		7		2		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		7		3		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		7		5		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		7		8		-		->		p1_B_Br
0		1		-		0		0		0		0		0		0		8		0		-		->		p1_B_Br
0		1		-		0		0		0		0		0		0		9		0		-		->		p1_B_Br
0		1		-		0		0		0		0		0		0		10	0		-		->		p1_B_Br
0		1		-		0		0		0		0		0		0		10	2		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		10	3		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		10	5		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		0		10	8		-		->		p1_B_Br
0		1		-		0		0		0		0		0		1		0		0		-		->		p1_B_Mr
0		1		-		0		0		0		0		0		1		0		2		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		1		0		3		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		1		0		5		-		->		p1_B_Gr
0		1		-		0		0		0		0		0		1		0		8		-		->		p1_B_Mr
0		1		-		0		0		0		0		0		1		1		0		-		->		p1_B_Mr
0		1		-		0		0		0		0		0		1		2		0		-		->		p1_B_Mr
0		1		-		0		0		0		0		0		1		4		0		-		->		p1_B_Mr
